image_file,image_width,image_height,aspect_ratio,analysis_width,analysis_height,foreground_ratio,bg_type,layout_mode,component_count,largest_component_ratio,second_component_ratio,has_scale_bar,has_overlay_text,border_brightness_mean,border_brightness_std,problem_score,bg_color_r,bg_color_g,bg_color_b,foreground_ratio_bin
data/raw/images/Нейш3А-2018-7177_orig.jpg,3654,2056,1.777237354085603,160,90,0.25222222222222224,white_uniform,single_object,5,0.171875,0.05402777777777778,0,0,252.95175,11.393849692987391,0.5750601103628963,255.0,255.0,255.0,0.15_0.30
data/raw/images/Нейш3А-2018-7185_orig.jpg,6869,2018,3.4038652130822595,160,47,0.3797872340425532,light_photo,multi_view,5,0.17034574468085106,0.16954787234042554,0,0,247.31179549114333,24.049873376879802,1.8249116133003271,255.0,255.0,255.0,ge_0.30
data/raw/images/Нейш3А-2018-7193_orig.jpg,6793,3684,1.8439196525515744,160,87,0.36235632183908045,white_uniform,multi_view,5,0.1642241379310345,0.16329022988505748,0,0,253.32860998650474,9.429908115867855,1.2118935518161045,255.0,255.0,255.0,ge_0.30
data/raw/images/Нейш3А-2018-7194_orig.jpg,6008,3122,1.9244074311338886,160,83,0.26701807228915664,white_uniform,single_object,4,0.22801204819277107,0.027259036144578315,0,0,254.01354595336076,6.843366407443466,0.6546180923685934,255.0,255.0,255.0,0.15_0.30
data/raw/images/Нейш3А-2018-7207_orig.jpg,5517,2800,1.970357142857143,160,81,0.27469135802469136,white_uniform,single_object,4,0.2205246913580247,0.030324074074074073,0,0,253.85892116182572,7.645566154553897,0.6782148171091356,255.0,255.0,255.0,0.15_0.30
data/raw/images/Нейш3А-2018-7213_orig.jpg,5470,2557,2.1392256550645286,160,75,0.3145,white_uniform,single_object,4,0.21883333333333332,0.08325,0,0,252.9968085106383,9.75509755710698,0.7604439201248402,255.0,255.0,255.0,ge_0.30
data/raw/images/Нейш3А-2018-7215_orig.jpg,4805,2776,1.730907780979827,160,92,0.29483695652173914,white_uniform,single_object,4,0.23226902173913044,0.0389945652173913,0,0,252.86111111111111,10.138380613482845,0.5486459997776977,255.0,255.0,255.0,0.15_0.30
data/raw/images/Нейш3А-2018-7216_orig.jpg,5392,3688,1.4620390455531453,160,109,0.33950688073394497,light_photo,single_object,5,0.14145642201834863,0.13887614678899082,0,0,251.0451517967782,19.165735949001228,0.37983206791565854,255.0,255.0,255.0,ge_0.30
data/raw/images/Нейш3А-2018-7338_orig.jpg,3813,2412,1.5808457711442787,160,101,0.23465346534653464,white_uniform,single_object,5,0.1889851485148515,0.025618811881188117,0,0,253.1806353767561,11.126706806790711,0.45796000201048775,255.0,255.0,255.0,0.15_0.30
data/raw/images/Нейш3А-2019-113_orig.jpg,3508,1863,1.8829844337090713,160,85,0.4047058823529412,light_photo,single_object,3,0.27448529411764705,0.10191176470588235,0,0,240.9934523809524,38.670223082803766,0.6328579828904851,255.0,255.0,255.0,ge_0.30
